Playlist,Playlist Slug,City,Track Count,CSV File,URI List File,M3U8 File
Mobile Soundtrack,mobile,"Mobile, Alabama",10,csv/32-mobile-soundtrack.csv,spotify-uri-lists/32-mobile-soundtrack.txt,m3u8/32-mobile-soundtrack.m3u8
Munich Soundtrack,munich,"Munich, Germany",10,csv/33-munich-soundtrack.csv,spotify-uri-lists/33-munich-soundtrack.txt,m3u8/33-munich-soundtrack.m3u8
Nashville Soundtrack,nashville,"Nashville, Tennessee",10,csv/34-nashville-soundtrack.csv,spotify-uri-lists/34-nashville-soundtrack.txt,m3u8/34-nashville-soundtrack.m3u8
New Orleans Soundtrack,new-orleans,"New Orleans, Louisiana",12,csv/35-new-orleans-soundtrack.csv,spotify-uri-lists/35-new-orleans-soundtrack.txt,m3u8/35-new-orleans-soundtrack.m3u8
New York Soundtrack,new-york,"New York, New York",10,csv/36-new-york-soundtrack.csv,spotify-uri-lists/36-new-york-soundtrack.txt,m3u8/36-new-york-soundtrack.m3u8
Orchard Park Soundtrack,orchard-park,"Orchard Park, New York",10,csv/37-orchard-park-soundtrack.csv,spotify-uri-lists/37-orchard-park-soundtrack.txt,m3u8/37-orchard-park-soundtrack.m3u8
Paris Soundtrack,paris,"Paris, France",10,csv/38-paris-soundtrack.csv,spotify-uri-lists/38-paris-soundtrack.txt,m3u8/38-paris-soundtrack.m3u8
Philadelphia Soundtrack,philadelphia,"Philadelphia, Pennsylvania",10,csv/39-philadelphia-soundtrack.csv,spotify-uri-lists/39-philadelphia-soundtrack.txt,m3u8/39-philadelphia-soundtrack.m3u8
Phoenix Soundtrack,phoenix,"Phoenix, Arizona",10,csv/40-phoenix-soundtrack.csv,spotify-uri-lists/40-phoenix-soundtrack.txt,m3u8/40-phoenix-soundtrack.m3u8
Pittsburgh Soundtrack,pittsburgh,"Pittsburgh, Pennsylvania",10,csv/41-pittsburgh-soundtrack.csv,spotify-uri-lists/41-pittsburgh-soundtrack.txt,m3u8/41-pittsburgh-soundtrack.m3u8
Raleigh Soundtrack,raleigh,"Raleigh, North Carolina",10,csv/42-raleigh-soundtrack.csv,spotify-uri-lists/42-raleigh-soundtrack.txt,m3u8/42-raleigh-soundtrack.m3u8
Richmond Soundtrack,richmond,"Richmond, Virginia",10,csv/43-richmond-soundtrack.csv,spotify-uri-lists/43-richmond-soundtrack.txt,m3u8/43-richmond-soundtrack.m3u8
Rio de Janeiro Soundtrack,rio-de-janeiro,"Rio de Janeiro, Brazil",10,csv/44-rio-de-janeiro-soundtrack.csv,spotify-uri-lists/44-rio-de-janeiro-soundtrack.txt,m3u8/44-rio-de-janeiro-soundtrack.m3u8
Sacramento Soundtrack,sacramento,"Sacramento, California",10,csv/45-sacramento-soundtrack.csv,spotify-uri-lists/45-sacramento-soundtrack.txt,m3u8/45-sacramento-soundtrack.m3u8
Saint-Denis Soundtrack,saint-denis,"Saint-Denis, France",10,csv/46-saint-denis-soundtrack.csv,spotify-uri-lists/46-saint-denis-soundtrack.txt,m3u8/46-saint-denis-soundtrack.m3u8
San Antonio Soundtrack,san-antonio,"San Antonio, Texas",10,csv/47-san-antonio-soundtrack.csv,spotify-uri-lists/47-san-antonio-soundtrack.txt,m3u8/47-san-antonio-soundtrack.m3u8
San Diego Soundtrack,san-diego,"San Diego, California",10,csv/48-san-diego-soundtrack.csv,spotify-uri-lists/48-san-diego-soundtrack.txt,m3u8/48-san-diego-soundtrack.m3u8
San Francisco Soundtrack,san-francisco,"San Francisco, California",10,csv/49-san-francisco-soundtrack.csv,spotify-uri-lists/49-san-francisco-soundtrack.txt,m3u8/49-san-francisco-soundtrack.m3u8
San Jose Soundtrack,san-jose,"San Jose, California",10,csv/50-san-jose-soundtrack.csv,spotify-uri-lists/50-san-jose-soundtrack.txt,m3u8/50-san-jose-soundtrack.m3u8
Santa Clara Soundtrack,santa-clara,"Santa Clara, California",10,csv/51-santa-clara-soundtrack.csv,spotify-uri-lists/51-santa-clara-soundtrack.txt,m3u8/51-santa-clara-soundtrack.m3u8
