Playlist,Playlist Slug,Position,Title,Artist,Spotify URI,Spotify URL,Spotify Track ID,Explicit
Boston Soundtrack,boston,10,Where Is My Mind?,Pixies,spotify:track:0KzAbK6nItSqNh8q70tb0K,https://open.spotify.com/track/0KzAbK6nItSqNh8q70tb0K,0KzAbK6nItSqNh8q70tb0K,FALSE
Buffalo Soundtrack,buffalo,1,Iris,Goo Goo Dolls,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,https://open.spotify.com/track/6Qyc6fS4DsZjB2mRW9DsQs,6Qyc6fS4DsZjB2mRW9DsQs,FALSE
Buffalo Soundtrack,buffalo,2,Shout,The Isley Brothers,spotify:track:06u2CAJZndymUuruReCYlt,https://open.spotify.com/track/06u2CAJZndymUuruReCYlt,06u2CAJZndymUuruReCYlt,FALSE
Buffalo Soundtrack,buffalo,3,Super Freak,Rick James,spotify:track:2dCmGcEOQrMQhMMS8Vj7Ca,https://open.spotify.com/track/2dCmGcEOQrMQhMMS8Vj7Ca,2dCmGcEOQrMQhMMS8Vj7Ca,FALSE
Buffalo Soundtrack,buffalo,4,32 Flavors,Ani DiFranco,spotify:track:0b4R0H3ah51OjUo2rXtA1j,https://open.spotify.com/track/0b4R0H3ah51OjUo2rXtA1j,0b4R0H3ah51OjUo2rXtA1j,FALSE
Buffalo Soundtrack,buffalo,5,Name,Goo Goo Dolls,spotify:track:1G8jae4jD8mwkXdodqHsBM,https://open.spotify.com/track/1G8jae4jD8mwkXdodqHsBM,1G8jae4jD8mwkXdodqHsBM,FALSE
Buffalo Soundtrack,buffalo,6,These Are Days,"10,000 Maniacs",spotify:track:786h4kDeZiX5nYvOwA3wtE,https://open.spotify.com/track/786h4kDeZiX5nYvOwA3wtE,786h4kDeZiX5nYvOwA3wtE,FALSE
Buffalo Soundtrack,buffalo,7,Give It to Me Baby,Rick James,spotify:track:13v3siPyvy5TTEZYmGPPse,https://open.spotify.com/track/13v3siPyvy5TTEZYmGPPse,13v3siPyvy5TTEZYmGPPse,FALSE
Buffalo Soundtrack,buffalo,8,Morning Dance,Spyro Gyra,spotify:track:7oTaBk0IrTeO7dKlUIn1k1,https://open.spotify.com/track/7oTaBk0IrTeO7dKlUIn1k1,7oTaBk0IrTeO7dKlUIn1k1,FALSE
Buffalo Soundtrack,buffalo,9,Slide,Goo Goo Dolls,spotify:track:0nnwn7LWHCAu09jfuH1xTA,https://open.spotify.com/track/0nnwn7LWHCAu09jfuH1xTA,0nnwn7LWHCAu09jfuH1xTA,FALSE
Buffalo Soundtrack,buffalo,10,Mary Jane Girls - All Night Long,Mary Jane Girls,spotify:track:2c98vEsnBCnpCIzd43LDtE,https://open.spotify.com/track/2c98vEsnBCnpCIzd43LDtE,2c98vEsnBCnpCIzd43LDtE,FALSE
Charlotte Soundtrack,charlotte,1,Raise Up,Petey Pablo,spotify:track:02GwPAncasVL82yC7y2hmN,https://open.spotify.com/track/02GwPAncasVL82yC7y2hmN,02GwPAncasVL82yC7y2hmN,TRUE
Charlotte Soundtrack,charlotte,2,Suge,DaBaby,spotify:track:2gwkD6igEhQbDQegRCcdoB,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,2gwkD6igEhQbDQegRCcdoB,TRUE
Charlotte Soundtrack,charlotte,3,Charlene,Anthony Hamilton,spotify:track:0xiuSFBOEHWaJ6rSuUbJWc,https://open.spotify.com/track/0xiuSFBOEHWaJ6rSuUbJWc,0xiuSFBOEHWaJ6rSuUbJWc,FALSE
Charlotte Soundtrack,charlotte,4,Carolina in My Mind,James Taylor,spotify:track:2T5Ch09nefwckOu5NQvjIk,https://open.spotify.com/track/2T5Ch09nefwckOu5NQvjIk,2T5Ch09nefwckOu5NQvjIk,FALSE
Charlotte Soundtrack,charlotte,5,Live and Die,The Avett Brothers,spotify:track:19n9s9SfnLtwPEODqk8KCT,https://open.spotify.com/track/19n9s9SfnLtwPEODqk8KCT,19n9s9SfnLtwPEODqk8KCT,FALSE
Charlotte Soundtrack,charlotte,6,Brick,Ben Folds Five,spotify:track:4jKq1e80xAYixkIwt6YyV1,https://open.spotify.com/track/4jKq1e80xAYixkIwt6YyV1,4jKq1e80xAYixkIwt6YyV1,FALSE
Charlotte Soundtrack,charlotte,7,I Believe,Fantasia,spotify:track:2zZJnAlhgvW6DERn1tu3fb,https://open.spotify.com/track/2zZJnAlhgvW6DERn1tu3fb,2zZJnAlhgvW6DERn1tu3fb,FALSE
Charlotte Soundtrack,charlotte,8,Springsteen,Eric Church,spotify:track:05ZACkzW8YbRq3eFgIfSNB,https://open.spotify.com/track/05ZACkzW8YbRq3eFgIfSNB,05ZACkzW8YbRq3eFgIfSNB,FALSE
Charlotte Soundtrack,charlotte,9,Work Out,J. Cole,spotify:track:2wAJTrFhCnQyNSD3oUgTZO,https://open.spotify.com/track/2wAJTrFhCnQyNSD3oUgTZO,2wAJTrFhCnQyNSD3oUgTZO,TRUE
